,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
1521,20210331,4272,"NIPPON KAYAKU CO.,LTD.",日本化薬,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1536,20210331,4307,"Nomura Research Institute,Ltd.",野村総合研究所,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1546,20210331,4324,DENTSU GROUP INC.,電通グループ,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1595,20210331,4401,ADEKA CORPORATION,ＡＤＥＫＡ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1596,20210331,4403,NOF CORPORATION,日油,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1631,20210331,4452,Kao Corporation,花王,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,1,TOPIX Core30
1661,20210331,4502,Takeda Pharmaceutical Company Limited,武田薬品工業,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1662,20210331,4503,Astellas Pharma Inc.,アステラス製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1663,20210331,4506,"Sumitomo Dainippon Pharma Co.,Ltd.",大日本住友製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1664,20210331,4507,"Shionogi & Co.,Ltd.",塩野義製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1666,20210331,4516,"Nippon Shinyaku Co.,Ltd.",日本新薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1668,20210331,4519,"CHUGAI PHARMACEUTICAL CO.,LTD.",中外製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1669,20210331,4521,"KAKEN PHARMACEUTICAL CO.,LTD.",科研製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1670,20210331,4523,"Eisai Co.,Ltd.",エーザイ,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1673,20210331,4527,"ROHTO PHARMACEUTICAL CO.,LTD.",ロート製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1674,20210331,4528,"ONO PHARMACEUTICAL CO.,LTD.",小野薬品工業,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1675,20210331,4530,"HISAMITSU PHARMACEUTICAL CO.,INC.",久光製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1677,20210331,4534,"Mochida Pharmaceutical Co.,Ltd.",持田製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1678,20210331,4536,"SANTEN PHARMACEUTICAL CO.,LTD.",参天製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1681,20210331,4540,TSUMURA & CO.,ツムラ,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1683,20210331,4543,TERUMO CORPORATION,テルモ,First Section (Domestic),3750,Precision Instruments,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
1684,20210331,4544,"H.U. Group Holdings,Inc.",Ｈ．Ｕ．グループホールディングス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1685,20210331,4547,"KISSEI PHARMACEUTICAL CO.,LTD.",キッセイ薬品工業,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1690,20210331,4552,"JCR Pharmaceuticals Co.,Ltd.",ＪＣＲファーマ,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1699,20210331,4568,"DAIICHI SANKYO COMPANY,LIMITED",第一三共,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1708,20210331,4578,"Otsuka Holdings Co.,Ltd.",大塚ホールディングス,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1710,20210331,4581,"TAISHO PHARMACEUTICAL HOLDINGS CO.,LTD.",大正製薬ホールディングス,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1715,20210331,4587,PeptiDream Inc.,ペプチドリーム,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1727,20210331,4612,"NIPPON PAINT HOLDINGS CO.,LTD.",日本ペイントホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1728,20210331,4613,"KANSAI PAINT CO.,LTD.",関西ペイント,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
