Date,6758.T,7203.T,9984.T,^N225,average
2018-10-12,10000,64625.761575244,10000,10000.0,23656.440393811
2018-10-15,10000,66464.38115693085,10000,10000.0,24116.09528923271
2018-10-16,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-17,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-18,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-19,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-22,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-23,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-24,10000,65010.66139204607,10000,10000.0,23752.66534801152
2018-10-25,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-10-26,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-10-29,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-10-30,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-10-31,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-01,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-02,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-05,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-06,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-07,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-08,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-09,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-12,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-13,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-14,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-15,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-16,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-19,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-20,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-21,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-22,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-23,10000,65625.95273743375,10000,,28541.98424581125
2018-11-26,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-27,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-28,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-29,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-11-30,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-12-03,10000,65625.95273743375,10000,10000.0,23906.488184358437
2018-12-04,10000,65625.95273743375,10000,10000.0,23906.488184358437
